id,name,url,descr,logo,mood
84,FluxFM - ChillHop,http://streams.fluxfm.de/Chillhop/mp3-320/streams.fluxfm.de/,"Chill Out, Laidback",https://www.radio.net/images/broadcasts/b7/4f/117103/1/c100.png,flux
85,FluxFM - Clubsandwich,http://streams.fluxfm.de/clubsandwich/mp3-320/audio/,- Electronica Germany -,https://www.radio.net/images/broadcasts/8e/37/37324/3/c100.png,flux
86,FluxFM - Hard Rock FM,http://streams.fluxfm.de/hardrock/mp3-320/streams.fluxfm.de/,- Hard Rock - Germany -,https://www.radio.net/images/broadcasts/0b/e4/111899/3/c100.png,flux
87,FluxFM - Jazzradio,http://streams.fluxfm.de/jazzschwarz/mp3-320/vtuner/,- Schwarzenstein  Germany - ,https://www.radio.net/images/broadcasts/01/ee/2226/1/c300.png,flux
88,Flux -  60’s,http://streams.fluxfm.de/60er/mp3-320/streams.fluxfm.de/,- Germany -,https://www.radio.net/images/broadcasts/b4/3d/117099/1/c100.png,flux
89,Flux - 80’s,http://streams.fluxfm.de/80er/mp3-320/streams.fluxfm.de/,- Germany -,https://www.radio.net/images/broadcasts/60/c2/105266/2/c100.png,flux
90,Flux FM Lounge,http://streams.fluxfm.de/lounge/mp3-320/vtuner/,- Berlin Germany -,https://www.radio.net/images/broadcasts/78/38/39371/2/c300.png,flux
91,Flux FM Dub Radio,http://195.154.250.208:8000/stream/12/,- Berlin Germany -,https://www.radio.net/images/broadcasts/01/ee/2226/1/c300.png,flux
92,Flux -  70’s,http://streams.fluxfm.de/70er/mp3-320/vtuner/,nacht yacht rach yeht,https://www.radio.net/images/broadcasts/01/ee/2226/1/c300.png,flux
93,Flux Funk,http://streams.fluxfm.de/event01/mp3-320/vtuner/,funkin flux,https://www.radio.net/images/broadcasts/01/ee/2226/1/c300.png,flux
94,Flux Beach House,http://streams.fluxfm.de/bbeachhouse/mp3-320/vtuner/,faux paws,https://www.radio.net/images/broadcasts/01/ee/2226/1/c300.png,flux
95,Flux-Hamburg,http://streams.fluxfm.de/flux-hamburg/mp3-320/streams.fluxfm.de/,- Berlin Germany -,https://www.radio.net/images/broadcasts/01/ee/2226/1/c300.png,flux
96,FluxFM - Hot R’n’B,http://streams.fluxfm.de/rnb/mp3-320/vtuner/,- Berlin Germany -,https://www.radio.net/images/broadcasts/01/ee/2226/1/c300.png,flux
97,FluxFM – Kompensator,http://streams.fluxfm.de/fluxkompensator/mp3-320/vtuner/,- Berlin Germany -,https://www.radio.net/images/broadcasts/01/ee/2226/1/c300.png,flux
98,FluxFM – neoFM,http://streams.fluxfm.de/neofm/mp3-320/vtuner/,- Berlin Germany -,https://www.radio.net/images/broadcasts/01/ee/2226/1/c300.png,flux
99,FluxFM - Xjazz,http://streams.fluxfm.de/xjazz/mp3-128/vtuner,- Berlin Germany -,https://www.radio.net/images/broadcasts/01/ee/2226/1/c300.png,flux
100,FluxFM - Passport Approved,http://streams.fluxfm.de/passport/mp3-320/,the british never invaded germany for a reason,https://www.radio.net/images/broadcasts/01/ee/2226/1/c300.png,flux
101,Flux-Yoga,http://streams.fluxfm.de/yogasounds/mp3-320/vtuner,music whales sleep to,https://www.radio.net/images/broadcasts/01/ee/2226/1/c300.png,flux
102,Soma FM - Left Coast 70s,http://ice1.somafm.com/seventies-128-aac,Roc - United States,https://somafm.com/img/seventies120.jpg,retro
103,The Jazz Groove,http://west-aac-64.streamthejazzgroove.com/stream,Jazz - United States,http://10.0.0.111/imagesw/radio-logos/thumbs/The%20Jazz%20Groove_sm.jpg,jazzy
104,KEXP 90.3 FM Seattle,http://live-aacplus-64.kexp.org/kexp64.aac,Alternativ - United States,https://www.kexp.org/static/assets/img/logo-white.svg,ornery
105,KIF Radio Paris,http://kifradio.kifradio.com,Electronic – Paris,https://item.radio456.com/007452/330159/logo-19981.png,festive
106,RCO,https://ice.cr1.streamzilla.xlcdn.com:8000/sz=RCOLiveWebradio=mp3-192,Classical,http://10.0.0.111/imagesw/radio-logos/thumbs/RCO%20Live_sm.jpg,classey
107,Radio Synthetique,http://142.112.78.44:8060/stream,Electronic – Canada,https://item.radio456.com/007452/330159/logo-96086.png,festive
108,1 Mix Radio Trance,http://fr1.1mix.co.uk:8060/320,Electronic – UK,https://item.radio456.com/007452/330159/logo-28154.png,festive
109,Audiogrooves Soul Unmixed,http://soul.audiogrooves.net/soul-unmixed.mp3,Electronic – Brazil,https://item.radio456.com/007452/330159/logo-98732.png,festive
110,KPJK Radio,http://streaming.radio.co/s9378c22ee/listen,Berlin or San Mateo,http://kpjkradio.com/background.gif,ornery
111,And How Radio,http://us4.internet-radio.com/proxy/andhowfm?mp=/stream,New Zealand,https://item.radio456.com/007452/330159/logo-37474.png,festive
112,Banana Ska,http://streamingv2.shoutcast.com/BananaSka,Spain,https://item.radio456.com/007452/330159/logo-82350.png,reggae
113,Bossa Jazz Brazil,https://centova5.transmissaodigital.com:20104/live,Bossa Jazz Brazil,https://moodeaudio.org/forum/attachment.php?thumbnail=2282,latin
114,Jazz Radio Latin Jazz,http://jazz-wr09.ice.infomaniak.ch/jazz-wr09-128.mp3,Probably Brazillian,https://moodeaudio.org/forum/attachment.php?thumbnail=2283,latin
